Token,Language,POS,NE,Lemma,Anglicism
"""",PUNCT,PUNCT,O,"""",No
Qué,PRON,PRON,B,Qué,No
es,AUX,AUX,O,ser,No
el,DET,DET,O,el,No
"""",PUNCT,PUNCT,O,"""",No
#sharenting,,NOUN,O,#sharenting,
"""",PUNCT,PUNCT,O,"""",No
y,CONJ,CONJ,O,y,No
por,ADP,ADP,O,por,No
qué,PRON,PRON,O,qué,No
es,AUX,AUX,O,ser,No
un,DET,DET,O,uno,No
problema,,NOUN,O,problema,
#moderno,,ADJ,O,#moderno,
de,ADP,ADP,O,de,No
la,DET,DET,O,lo,No
paternidad,,NOUN,O,paternidad,
"""",PUNCT,PUNCT,O,"""",No
¿,PUNCT,PUNCT,B,¿,No
Cuánto,DET,DET,I,Cuánto,No
compartes,,NOUN,O,compartir,
en,ADP,ADP,O,en,No
internet,,NOUN,O,internet,
sobre,ADP,ADP,O,sobrar,No
la,DET,DET,O,lo,No
vida,,NOUN,O,vida,
de,ADP,ADP,O,de,No
tus,DET,DET,O,tu,No
hijos,,NOUN,O,hijo,
?,PUNCT,PUNCT,O,?,No
El,DET,DET,B,El,No
"""",PUNCT,PUNCT,I,"""",No
sharenting,Name Entity,NOUN,I,sharenting,No
"""",PUNCT,PUNCT,O,"""",No
-,PUNCT,PUNCT,O,-,No
un,DET,DET,O,uno,No
anglicismo,,NOUN,O,anglicismo,
que,PRON,PRON,O,que,No
proviene,,VERB,O,provenir,
de,ADP,ADP,O,de,No
share,,NOUN,O,share,
(,PUNCT,PUNCT,O,(,No
compartir,,VERB,O,compartir,
),PUNCT,PUNCT,O,),No
y,CONJ,CONJ,O,y,No
parenting,,NOUN,O,parenting,
(,PUNCT,PUNCT,O,(,No
paternidad,,NOUN,O,paternidad,
),PUNCT,PUNCT,O,),No
-,PUNCT,PUNCT,O,-,No
consiste,,VERB,O,consistir,
en,ADP,ADP,O,en,No
documentar,,VERB,O,documentar,
las,DET,DET,O,los,No
primeras,,ADJ,O,primero,
sonrisas,,NOUN,O,sonrisa,
",",PUNCT,PUNCT,O,",",No
palabras,,NOUN,O,palabra,
",",PUNCT,PUNCT,O,",",No
pasos,,NOUN,O,paso,
...,PUNCT,PUNCT,O,...,No
Usando,Name Entity,VERB,B,Usando,No
el,DET,DET,O,el,No
