Token	Language	Anglicism
27	NUM	no
/	PUNCT	no
01	NUM	no
/	PUNCT	no
13	NUM	no
Tomemos	Spn	no
un	Spn	no
país	Spn	no
cualquiera	Spn	no
,	PUNCT	no
uno	Spn	no
del	Spn	no
montón	Spn	no
.	PUNCT	no
Por	Spn	no
ejemplo	Spn	no
,	PUNCT	no
Estados	Spn	no
Unidos	Spn	no
.	PUNCT	no
Allá	Spn	no
hay	Spn	no
dos	Spn	no
partidos	Spn	no
políticos	Spn	no
:	PUNCT	no
Republicanos	Spn	no
y	Spn	no
Demócratas	Spn	no
.	PUNCT	no
Cada	Spn	no
tanto	Spn	no
hacen	Spn	no
una	Spn	no
interna	Spn	no
entre	Spn	no
4	NUM	no
o	Spn	no
5	NUM	no
ñatos	Spn	no
de	Spn	no
cada	Spn	no
lado	Spn	no
,	PUNCT	no
cada	Spn	no
bando	Spn	no
elige	Spn	no
uno	Spn	no
(	PUNCT	no
habitualmente	Spn	no
al	Spn	no
más	Spn	no
canchero	Spn	no
)	PUNCT	no
y	Spn	no
juegan	Spn	no
la	Spn	no
final	Spn	no
.	PUNCT	no
Gana	Spn	no
uno	Spn	no
,	PUNCT	no
pierde	Spn	no
el	Spn	no
otro	Spn	no
y	Spn	no
al	Spn	no
día	Spn	no
siguiente	Spn	no
todo	Spn	no
el	Spn	no
mundo	Spn	no
a	Spn	no
laburar	Spn	no
como	Spn	no
si	Spn	no
nada	Spn	no
.	PUNCT	no
Veamos	Spn	no
otro	Spn	no
país	Spn	no
al	Spn	no
voleo	Spn	no
:	PUNCT	no
Uruguay	Spn	no
.	PUNCT	no
Ahí	Spn	no
la	Spn	no
única	Spn	no
diferencia	Spn	no
es	Spn	no
que	Spn	no
en	Spn	no
lugar	Spn	no
de	Spn	no
2	NUM	no
partidos	Spn	no
hay	Spn	no
3	NUM	no
:	PUNCT	no
Colorados	Spn	no
,	PUNCT	no
Blancos	Spn	no
y	Spn	no
el	Spn	no
Frente	Spn	no
Amplio	Spn	no
.	PUNCT	no
Siempre	Spn	no
gana	Spn	no
alguno	Spn	no
de	Spn	no
los	Spn	no
3	NUM	no
.	PUNCT	no
No	Spn	no
hay	Spn	no
sorpresas	Spn	no
.	PUNCT	no
Un	Spn	no
embole	Spn	no
.	PUNCT	no
En	Spn	no
cambio	Spn	no
acá	Spn	no
la	Spn	no
cosa	Spn	no
es	Spn	no
bien	Spn	no
diferente	Spn	no
.	PUNCT	no
Acá	Spn	no
es	Spn	no
una	Spn	no
fiesta	Spn	no
.	PUNCT	no
En	Spn	no
tiempos	Spn	no
electorales	Spn	no
,	PUNCT	no
como	Spn	no
los	Spn	no
que	Spn	no
se	Spn	no
vienen	Spn	no
ahora	Spn	no
,	PUNCT	no
todo	Spn	no
es	Spn	no
mucho	Spn	no
más	Spn	no
confuso	Spn	no
,	PUNCT	no
mezclado	Spn	no
y	Spn	no
cualquiera	Spn	no
le	Spn	no
puede	Spn	no
ganar	Spn	no
a	Spn	no
cualquiera	Spn	no
.	PUNCT	no
En	Spn	no
la	Spn	no
última	Spn	no
elección	Spn	no
legislativa	Spn	no
un	Spn	no
tal	Spn	no
De	Spn	no
Narváez	Spn	no
Sociedad	Spn	no
Anónima	Spn	no
le	Spn	no
ganó	Spn	no
por	Spn	no
3	NUM	no
puntitos	Spn	no
a	Spn	no
la	Spn	no
lista	Spn	no
encabezada	Spn	no
por	Spn	no
el	Spn	no
mismísimo	Spn	no
Compañero	Spn	no
Jefe	Spn	no
y	Spn	no
secundado	Spn	no
por	Spn	no
el	Spn	no
Compañero	Spn	no
Scioli	Spn	no
.	PUNCT	no
En	Spn	no
realidad	Spn	no
,	PUNCT	no
el	Spn	no
Compañero	Spn	no
Represa	Spn	no
Hidroeléctrica	Spn	no
perdió	Spn	no
porque	Spn	no
apareció	Spn	no
un	Spn	no
tipo	Spn	no
llamado	Spn	no
Sabbatella	Spn	no
que	Spn	no
lo	Spn	no
enfrentó	Spn	no
y	Spn	no
le	Spn	no
choreó	Spn	no
5	NUM	no
puntos	Spn	no
.	PUNCT	no
De	Spn	no
no	Spn	no
haber	Spn	no
sido	Spn	no
por	Spn	no
eso	Spn	no
,	PUNCT	no
Kirchner	Spn	no
hubiera	Spn	no
ganado	Spn	no
aquellas	Spn	no
elecciones	Spn	no
y	Spn	no
vaya	Spn	no
uno	Spn	no
a	Spn	no
saber	Spn	no
cómo	Spn	no
hubiera	Spn	no
sido	Spn	no
la	Spn	no
historia	Spn	no
.	PUNCT	no
Las	Spn	no
vueltas	Spn	no
de	Spn	no
la	Spn	no
vida	Spn	no
,	PUNCT	no
¿	PUNCT	no
no	Spn	no
?	PUNCT	no
Hoy	Spn	no
Sabbatella	Spn	no
es	Spn	no
la	Spn	no
Armada	Spn	no
Brancaleone	Spn	no
del	Spn	no
kirchnerismo	Spn	no
.	PUNCT	no
Si	Spn	no
fuéramos	Spn	no
un	Spn	no
país	Spn	no
común	Spn	no
y	Spn	no
aburrido	Spn	no
,	PUNCT	no
tendríamos	Spn	no
dos	Spn	no
grandes	Spn	no
frentes	Spn	no
electorales	Spn	no
.	PUNCT	no
Uno	Spn	no
de	Spn	no
centro	Spn	no
izquierda	Spn	no
,	PUNCT	no
progresista	Spn	no
,	PUNCT	no
con	Spn	no
el	Spn	no
ala	Spn	no
progre	Spn	no
